Steam,Steam,Steam,EA twitch,EA twitch,EA twitch,EA twitch,YT,YT,YT,Fifa+Apex twitch,Fifa+Apex twitch,Fifa+Apex twitch,Fifa+Apex twitch,Other Twitch,Other Twitch,Other Twitch,Other Twitch,ubisoft twitch,ubisoft twitch,ubisoft twitch,ubisoft twitch,activision twitch,activision twitch,activision twitch,activision twitch,microsoft twitch,microsoft twitch,microsoft twitch,microsoft twitch
Date,Game,Peak Players 24hr,Game,Average 7-Day Viewers,Hours Watched,Date,DateTime,Game,Viewer Figure,Game,Average 7-Day Viewers,Hours Watched,Date,Game,Average 7-Day Viewers,Hours Watched,Date,Game,Average 7-Day Viewers,Hours Watched,Date,Game,Average 7-Day Viewers,Hours Watched,Date,Game,Average 7-Day Viewers,Hours Watched,Date
2023-08-09,Wallpaper Engine,94932.0,,,,,2023-08-09,Mahjong Soul,24K,,,,,NBA 2K23,7692.0,1289735.0,2023-08-09,,,,,,,,,,,,
2023-08-09,Rust,82867.0,,,,,2023-08-09,BeamNG.drive,23K,,,,,Destiny 2,4594.0,770277.0,2023-08-09,,,,,,,,,,,,
2023-08-09,Team Fortress 2,80072.0,,,,,2023-08-09,Battlegrounds Mobile India,17K,,,,,Cyberpunk 2077,459.0,76995.0,2023-08-09,,,,,,,,,,,,
2023-08-09,War Thunder,66089.0,,,,,2023-08-09,Pikmin 4,16K,,,,,Roblox,5945.0,996735.0,2023-08-09,,,,,,,,,,,,
2023-08-09,Call of Duty®,59285.0,,,,,2023-08-09,My Summer Car,15K,,,,,Fortnite,53548.0,8978293.0,2023-08-09,,,,,,,,,,,,
2023-08-09,Football Manager 2023,52313.0,,,,,2023-08-09,Honkai: Star Rail,15K,,,,,Among Us,2709.0,454249.0,2023-08-09,,,,,,,,,,,,
2023-08-09,ARK: Survival Evolved,43095.0,,,,,2023-08-09,Grand Theft Auto V,15K,,,,,Rocket League,27675.0,4640140.0,2023-08-09,,,,,,,,,,,,
2023-08-09,Counter-Strike: Global Offensive,920181.0,,,,,2023-08-09,7 Days to Die,14K,,,,,,,,,,,,,,,,,,,,
2023-08-09,Dota 2,473713.0,,,,,2023-08-09,Garena Free Fire,14K,,,,,,,,,,,,,,,,,,,,
2023-08-09,Baldur's Gate 3,376760.0,,,,,2023-08-09,Mobile Legends: Bang Bang,14K,,,,,,,,,,,,,,,,,,,,
2023-08-09,Apex Legends,296353.0,,,,,2023-08-09,Teamfight Tactics,13K,,,,,,,,,,,,,,,,,,,,
2023-08-09,PUBG: BATTLEGROUNDS,276983.0,,,,,2023-08-09,League of Legends,173K,,,,,,,,,,,,,,,,,,,,
2023-08-09,NARAKA: BLADEPOINT,123907.0,,,,,2023-08-09,PUBG Mobile,81K,,,,,,,,,,,,,,,,,,,,
2023-08-09,Grand Theft Auto V,122515.0,,,,,2023-08-09,Minecraft,70K,,,,,,,,,,,,,,,,,,,,
2023-08-09,Source SDK Base 2007,102633.0,,,,,2023-08-09,EA SPORTS FIFA 23,45K,,,,,,,,,,,,,,,,,,,,
2023-08-09,Wallpaper Engine,94932.0,,,,,2023-08-09,Apex Legends,24K,,,,,,,,,,,,,,,,,,,,
2023-08-09,Rust,82867.0,,,,,2023-08-09,Mahjong Soul,23K,,,,,,,,,,,,,,,,,,,,
2023-08-09,Team Fortress 2,80072.0,,,,,2023-08-09,BeamNG.drive,23K,,,,,,,,,,,,,,,,,,,,
2023-08-09,War Thunder,66089.0,,,,,2023-08-09,Battlegrounds Mobile India,17K,,,,,,,,,,,,,,,,,,,,
2023-08-09,Call of Duty®,59285.0,,,,,2023-08-09,Pikmin 4,16K,,,,,,,,,,,,,,,,,,,,
2023-08-09,Football Manager 2023,52313.0,,,,,2023-08-09,My Summer Car,15K,,,,,,,,,,,,,,,,,,,,
2023-08-09,ARK: Survival Evolved,43095.0,,,,,2023-08-09,Grand Theft Auto V,15K,,,,,,,,,,,,,,,,,,,,
,,,,,,,2023-08-09,Honkai: Star Rail,15K,,,,,,,,,,,,,,,,,,,,
,,,,,,,2023-08-09,7 Days to Die,14K,,,,,,,,,,,,,,,,,,,,
,,,,,,,2023-08-09,Garena Free Fire,14K,,,,,,,,,,,,,,,,,,,,
,,,,,,,2023-08-09,Mobile Legends: Bang Bang,14K,,,,,,,,,,,,,,,,,,,,
,,,,,,,2023-08-09,Teamfight Tactics,13K,,,,,,,,,,,,,,,,,,,,
