Game,Average 7-Day Viewers,Hours Watched,Date
The Sims 4,3043,508103,2023-08-01 09:16:03
Apex Legends,34088,5698350,2023-08-01 09:16:03
FIFA 23,20102,3360464,2023-08-01 09:28:51
Madden NFL 23,943,157441,2023-08-01 09:28:51
Battlefield 2042,677,113132,2023-08-01 09:28:51
NHL 23,272,45398,2023-08-01 09:28:51
F1 23,2862,477959,2023-08-01 09:28:51
Star Wars Jedi: Survivor,305,51001,2023-08-01 09:28:51
The Sims 4,3043,508103,2023-08-01 09:28:51
Apex Legends,34088,5698350,2023-08-01 09:28:51
