DateTime,Game,Viewer Figure
2023-06-30 17:20:34,Garena Free Fire,14K
2023-06-30 17:20:34,Final Fantasy XVI,13K
2023-06-30 17:20:34,Among Us,13K
2023-06-30 17:20:34,Free Fire MAX,12K
2023-06-30 17:20:34,Roblox,12K

2023-08-01 08:25:52,BeamNG.drive,32K
2023-08-01 08:25:52,Mobile Legends: Bang Bang,18K
2023-08-01 08:25:52,Garena Free Fire,15K
2023-08-01 08:25:52,Grand Theft Auto V,15K
2023-08-01 08:25:52,Minecraft,12K
2023-08-01 08:25:52,Battlegrounds Mobile India,11K
2023-08-01 08:25:52,Brawl Stars,11K
2023-08-01 08:25:52,RTP Slot Pragmatic,10K
2023-08-01 08:25:52,Mega City Police,9K
2023-08-01 08:25:52,Soma,8.3K
2023-08-01 08:25:52,PUBG Mobile,7.3K
2023-08-01 08:25:52,Roblox,6.2K
2023-08-01 08:25:52,League of Legends,5.5K
2023-08-01 08:25:52,Valorant,5.3K
2023-08-01 08:25:52,Apex Legends,5K
2023-08-01 08:25:52,FIFA Online 3,5K

2023-08-01 08:29:49,BeamNG.drive,31K
2023-08-01 08:29:49,Mobile Legends: Bang Bang,15K
2023-08-01 08:29:49,Grand Theft Auto V,14K
2023-08-01 08:29:49,League of Legends,14K
2023-08-01 08:29:49,Battlegrounds Mobile India,13K
2023-08-01 08:29:49,Minecraft,13K
2023-08-01 08:29:49,Brawl Stars,12K
2023-08-01 08:29:49,RTP Slot Pragmatic,11K
2023-08-01 08:29:49,Garena Free Fire,9.9K
2023-08-01 08:29:49,Soma,8.3K
2023-08-01 08:29:49,PUBG Mobile,7.6K
2023-08-01 08:29:49,Roblox,6.8K
2023-08-01 08:29:49,Valorant,5.2K
2023-08-01 08:29:49,Apex Legends,5.1K
2023-08-01 08:29:49,FIFA Online 3,5K
2023-08-01 08:29:49,Higgs Domino Island,4.2K

2023-08-01 09:16:11,Minecraft,63K
2023-08-01 09:16:11,BeamNG.drive,29K
2023-08-01 09:16:11,Battlegrounds Mobile India,22K
2023-08-01 09:16:11,Grand Theft Auto V,19K
2023-08-01 09:16:11,League of Legends,15K
2023-08-01 09:16:11,Mobile Legends: Bang Bang,13K
2023-08-01 09:16:11,RTP Slot Pragmatic,11K
2023-08-01 09:16:11,Garena Free Fire,8.8K
2023-08-01 09:16:11,PUBG Mobile,7.7K
2023-08-01 09:16:11,Roblox,6.9K
2023-08-01 09:16:11,Soma,6.5K
2023-08-01 09:16:11,Apex Legends,6.5K
2023-08-01 09:16:11,Pikmin 4,4.7K
2023-08-01 09:16:11,Dota 2,4.6K
2023-08-01 09:16:11,Fortnite,4.3K
